player_id,name,email,password,coins,active_ship_id
1,Jacynthe.Will,Jacynthe.Will@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,87,1
2,Belle_Hoppe,Belle_Hoppe@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,94,3
3,Karianne1,Karianne1@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,20,3
4,Lorine.Bradtke,Lorine.Bradtke@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,42,2
5,Chelsie55,Chelsie55@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,45,2
6,Dawson0,Dawson0@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,80,2
7,Liliane.Cormier7,Liliane.Cormier7@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,43,2
8,Florine62,Florine62@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,40,2
9,Sabryna_Corwin17,Sabryna_Corwin17@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,7,3
10,Evert.Barrows,Evert.Barrows@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,7,1
11,Jorge_Auer88,Jorge_Auer88@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,68,2
12,Deja_Cronin46,Deja_Cronin46@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,30,2
13,Hudson_Friesen,Hudson_Friesen@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,7,3
